ID,NR,TraceSampleCode,Region,RegionNo,d2H,LabNo
1.3800000000000000e+02,8.0000000000000000e+00,"1BUKOrk08030008","ORK",1.7000000000000000e+01,-9.9850000000000009e+01,
1.3900000000000000e+02,9.0000000000000000e+00,"1BUKOrk08030009","ORK",1.7000000000000000e+01,-1.0025000000000000e+02,
1.4000000000000000e+02,1.0000000000000000e+01,"1BUKOrk08030010","ORK",1.7000000000000000e+01,-1.0112000000000000e+02,
1.4100000000000000e+02,1.1000000000000000e+01,"1BUKOrk08030011","ORK",1.7000000000000000e+01,-9.5060000000000002e+01,
1.4200000000000000e+02,1.2000000000000000e+01,"1BUKOrk08030012","ORK",1.7000000000000000e+01,-9.7570000000000007e+01,
1.4300000000000000e+02,1.3000000000000000e+01,"1BUKOrk08030013","ORK",1.7000000000000000e+01,-9.6340000000000003e+01,
1.4400000000000000e+02,1.4000000000000000e+01,"1BUKOrk08030014","ORK",1.7000000000000000e+01,-9.2570000000000007e+01,
1.4500000000000000e+02,1.5000000000000000e+01,"1BUKOrk08030015","ORK",1.7000000000000000e+01,-9.6170000000000002e+01,
1.4600000000000000e+02,1.6000000000000000e+01,"1BUKOrk08030016","ORK",1.7000000000000000e+01,-9.5189999999999998e+01,
1.4700000000000000e+02,1.7000000000000000e+01,"1BUKOrk08030017","ORK",1.7000000000000000e+01,-9.9140000000000001e+01,
1.4800000000000000e+02,1.8000000000000000e+01,"1BUKOrk08030018","ORK",1.7000000000000000e+01,-9.6280000000000001e+01,
1.4900000000000000e+02,1.9000000000000000e+01,"1BUKOrk08030019","ORK",1.7000000000000000e+01,-9.8590000000000003e+01,
1.5000000000000000e+02,2.0000000000000000e+01,"1BUKOrk08030020","ORK",1.7000000000000000e+01,-9.4540000000000006e+01,
1.5100000000000000e+02,2.1000000000000000e+01,"1BUKOrk08100001","ORK",1.7000000000000000e+01,-9.2680000000000007e+01,
1.5200000000000000e+02,2.2000000000000000e+01,"1BUKOrk08100002","ORK",1.7000000000000000e+01,-9.2840000000000003e+01,
1.5300000000000000e+02,2.3000000000000000e+01,"1BUKOrk08100003","ORK",1.7000000000000000e+01,-9.5019999999999996e+01,
1.5400000000000000e+02,1.0000000000000000e+00,"1BItSic06090001","SIC",1.9000000000000000e+01,-8.2400000000000006e+01,
1.5500000000000000e+02,2.0000000000000000e+00,"1BItSic06090002","SIC",1.9000000000000000e+01,-8.7320000000000007e+01,
1.5600000000000000e+02,3.0000000000000000e+00,"1BItSic06090003","SIC",1.9000000000000000e+01,-8.7340000000000003e+01,
1.5700000000000000e+02,4.0000000000000000e+00,"1BItSic06090004","SIC",1.9000000000000000e+01,-8.4140000000000001e+01,
1.5800000000000000e+02,5.0000000000000000e+00,"1BItSic06090005","SIC",1.9000000000000000e+01,-8.6799999999999997e+01,
1.5900000000000000e+02,6.0000000000000000e+00,"1BItSic06090006","SIC",1.9000000000000000e+01,-8.6670000000000002e+01,
1.6000000000000000e+02,7.0000000000000000e+00,"1BItSic06090007","SIC",1.9000000000000000e+01,-9.1140000000000001e+01,
1.6100000000000000e+02,8.0000000000000000e+00,"1BItSic06090008","SIC",1.9000000000000000e+01,-8.7629999999999995e+01,
1.6200000000000000e+02,9.0000000000000000e+00,"1BItSic06090009","SIC",1.9000000000000000e+01,-8.7549999999999997e+01,
1.6300000000000000e+02,1.0000000000000000e+01,"1BItSic06090010","SIC",1.9000000000000000e+01,-9.5159999999999997e+01,
1.6400000000000000e+02,1.1000000000000000e+01,"1BItSic08040001","SIC",1.9000000000000000e+01,-8.8200000000000003e+01,
1.6500000000000000e+02,1.2000000000000000e+01,"1BItSic08040002","SIC",1.9000000000000000e+01,-8.8100000000000009e+01,
1.6600000000000000e+02,1.3000000000000000e+01,"1BItSic08040003","SIC",1.9000000000000000e+01,-8.6700000000000003e+01,
1.6700000000000000e+02,1.4000000000000000e+01,"1BItSic08040004","SIC",1.9000000000000000e+01,-8.4600000000000009e+01,
1.6800000000000000e+02,1.5000000000000000e+01,"1BItSic08040005","SIC",1.9000000000000000e+01,-8.7400000000000006e+01,
1.6900000000000000e+02,1.6000000000000000e+01,"1BItSic08040006","SIC",1.9000000000000000e+01,-8.5000000000000000e+01,
1.7000000000000000e+02,1.7000000000000000e+01,"1BItSic08040007","SIC",1.9000000000000000e+01,-8.6500000000000000e+01,
1.7100000000000000e+02,1.8000000000000000e+01,"1BItSic08040008","SIC",1.9000000000000000e+01,-7.8200000000000003e+01,
1.7200000000000000e+02,1.9000000000000000e+01,"1BItSic08040009","SIC",1.9000000000000000e+01,-8.6700000000000003e+01,
